,Date,Exercise,Weights,Sets,Reps,RPE,Mobility,Notes
153,3/16/20,close grip bench,[215.0],[3],[7],[None],"foam rolling, t spine mobility, 4 types of planks, kb cossack squats, back extensions, kb squats","all easy, rpe >6"
154,3/17/20,comp bench,"[235.0, 245.0]","[1, 2]","[5, 5]","[None, None]","t spine mobility, lat pulldown, cable row, iyt’s","all easy, rpe 6/7"
155,3/18/20,comp deadlift,"[475.0, 490.0, 505.0]","[1, 1, 1]","[3, 3, 3]","[None, None, None]","foam rolling, t spine mobility, 4 types of planks, kb cossack squats, kb squats, back extensions","top set was 9.5, hopefully non/fatiguing ramping sets increase potential"
156,3/18/20,conventional deadlift,[415.0],[3],[5],[None],"foam rolling, t spine mobility, 4 types of planks, kb cossack squats, kb squats, back extensions",beltled and toes/out feels best
157,3/18/20,high bar,"[315.0, 335.0]","[1, 2]","[5, 5]","[None, None]","foam rolling, t spine mobility, 4 types of planks, kb cossack squats, kb squats, back extensions","easy, optimal rep range for this high bar day would be 7/8 though"
158,3/18/20,split squats,[40.0],[3],[8],[None],"foam rolling, t spine mobility, 4 types of planks, kb cossack squats, kb squats, back extensions",why the fuck did i do 12 last week
159,3/20/20,comp bench,"[255.0, 265.0, 275.0]","[1, 1, 1]","[3, 3, 3]","[None, None, None]","foam rolling, t spine mobility, lat pulldown, cable row, iyt’s, back extensions",top set was rpe 8.5
160,3/20/20,comp bench,[255.0],[5],[2],[None],"foam rolling, t spine mobility, lat pulldown, cable row, iyt’s, back extensions","last set was perfect, elbows were out of control sets 2/4"
161,3/20/20,lat pulldown,[160.0],[5],[8],[None],"foam rolling, t spine mobility, lat pulldown, cable row, iyt’s, back extensions",best grip by far
162,3/21/20,comp squat,"[435.0, 475.0]","[1, 1]","[1, 0]","[None, None]","foam rolling, t spine mobility, 3 types of planks, cossack squats, kb squats, back extensions","fell forward, strength is absolutely there for 475+"
163,3/21/20,3:1:0 tempo comp squat,"[350.0, 365.0]","[1, 2]","[3, 3]","[None, None]","foam rolling, t spine mobility, 3 types of planks, cossack squats, kb squats, back extensions",tempos much easier than last week
164,3/21/20,2” board press,"[210.0, 215.0]","[1, 3]","[4, 4]","[None, None]","foam rolling, t spine mobility, 3 types of planks, cossack squats, kb squats, back extensions",replaced football bench with this variation for the time being
165,3/21/20,pause sumo deadlift,[455.0],[3],[1],[None],"foam rolling, t spine mobility, 3 types of planks, cossack squats, kb squats, back extensions","externally rotating elbows with straps makes it a lot more smooth, decent sets forsure"
166,3/23/20,comp squat,"[395.0, 410.0, 455.0]","[1, 1, 1]","[3, 3, 3]","[None, None, None]","foam rolling, t spine mobility, 3 types of planks, cossack squats, kb squats, back extensions",fucking got it. rpe 10.
167,3/23/20,high bar,[380.0],[1],[1],[None],"foam rolling, t spine mobility, 3 types of planks, cossack squats, kb squats, back extensions","need to adjust backoff on peak weeks, no biggie just fatigued"
168,3/23/20,comp bench,"[285.0, 305.0, 315.0]","[1, 1, 1]","[1, 1, 1]","[None, None, None]","foam rolling, t spine mobility, 3 types of planks, cossack squats, kb squats, back extensions",sick single
169,3/23/20,close grip bench,"[215.0, 215.0, 220.0]","[1, 1, 1]","[7, 7, 7]","[None, None, None]","foam rolling, t spine mobility, 3 types of planks, cossack squats, kb squats, back extensions",easy
170,3/24/20,comp bench,"[250.0, 255.0, 280.0]","[1, 1, 1]","[3, 3, 3]","[None, None, None]","lat pulldown, cable row, back extension, iyts, no foam rolling or stretching","warmups feel slow and i’m tired, it moved tho"
171,3/24/20,comp bench,[260.0],[5],[2],[None],"lat pulldown, cable row, back extension, iyts, no foam rolling or stretching",all rpe 6/7
172,3/25/20,comp deadlift,"[460.0, 475.0, 515.0]","[1, 1, 1]","[3, 3, 3]","[None, None, None]","t spine mobility, 3 types of planks, cossack/kb squat superset, back extensions","warmups feel like ass and rice, goal moved tho"
173,3/25/20,conventional deadlift,"[420.0, 400.0, 370.0]","[1, 1, 1]","[5, 5, 5]","[None, None, None]","t spine mobility, 3 types of planks, cossack/kb squat superset, back extensions",felt good! narrow stance and belt feels acceptable
174,3/25/20,high bar,[335.0],[3],[5],[None],"t spine mobility, 3 types of planks, cossack/kb squat superset, back extensions",pretty money surprisingly
175,3/25/20,split squats,[45.0],[3],[8],[None],"t spine mobility, 3 types of planks, cossack/kb squat superset, back extensions",fuck
176,3/27/20,comp bench,"[245.0, 245.0, 260.0, 285.0]","[1, 1, 1, 1]","[5, 5, 5, 1]","[None, None, None, None]","iyt’s, lat pulldown, cable row, machine press","top set of 5 was a safe rpe 8.5, single was fatigued but moved"
177,3/27/20,larsen press,[220.0],[2],[9],[None],"iyt’s, lat pulldown, cable row, machine press","may have miscounted and done 10 on the last set, was rpe 10 either way"
178,3/27/20,incline dumbbell bench,[65.0],[3],[12],[None],"iyt’s, lat pulldown, cable row, machine press",focusing on full rom feels much better
179,3/27/20,tricep extensions,[67.5],[3],[15],[None],"iyt’s, lat pulldown, cable row, machine press",felt good
180,3/30/20,comp squat,"[405.0, 425.0, 455.0, 475.0, 505.0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[None, None, None, None, None]","foam rolling, t spine mobility, 3 types of planks, kb squat & cossack squat, back extensions",in pocket!
181,3/30/20,pause comp deadlift,"[405.0, 455.0, 505.0]","[1, 1, 1]","[1, 1, 1]","[None, None, 7.0]","foam rolling, t spine mobility, 3 types of planks, kb squat & cossack squat, back extensions","nice, position was ass because of rushing but still so much stronger than before the block"
182,3/31/20,comp bench,[225.0],[2],[4],[None],"lat pulldown & cable row superset, iyt’s, machine press",yea
183,3/31/20,larsen press,[185.0],[1],[6],[None],"lat pulldown & cable row superset, iyt’s, machine press",nice
184,4/1/20,sumo block pull,[585.0],[1],[1],[9.0],"t spine mobility, 3 types of planks, cossack squats, kb squats, back extensions",lockout not the weak point
185,4/1/20,comp deadlift,[455.0],[2],[2],[None],"t spine mobility, 3 types of planks, cossack squats, kb squats, back extensions",easy but felt very weird after block pulling
186,4/6/20,comp squat,"[385.0, 400.0, 415.0]","[1, 1, 1]","[4, 4, 4]","[None, None, None]","t spine mobility, 4 types of planks, kb cossack & squat, back extensions","sets feel surprisingly technically sound, top set i kept rolling forward on toes but speed was decent"
187,4/6/20,high bar,[350.0],[4],[4],[None],"t spine mobility, 4 types of planks, kb cossack & squat, back extensions",very hard but doable
188,4/6/20,comp bench,[285.0],[1],[1],[None],"t spine mobility, 4 types of planks, kb cossack & squat, back extensions",rpe 8.5 very smooth
189,4/7/20,comp bench,[240.0],[3],[6],[None],"foam rolling, warmup, mobility",all sets true rpe 7
190,4/7/20,2” board close grip press,[225.0],[2],[6],[None],"foam rolling, warmup, mobility",rpe 7 very smooth
191,4/7/20,skull crushers,[65.0],[3],[10],[None],"foam rolling, warmup, mobility","rpe 6, go up 10 next week"
192,4/8/20,comp deadlift,"[440.0, 450.0, 465.0]","[1, 1, 1]","[4, 4, 4]","[None, None, None]","foam rolling, mobility, warmup",felt uneven but fixed on
193,4/8/20,comp deadlift,[420.0],[3],[2],[None],"foam rolling, mobility, warmup","perfect form, start hips 1 inch lower and go from there"
194,4/8/20,high bar,[325.0],[3],[6],[None],"foam rolling, mobility, warmup",difficult forsure from soreness
195,4/10/20,comp bench,"[235.0, 245.0, 255.0]","[1, 1, 1]","[4, 4, 4]","[None, None, None]","foam rolling, mobility, warmup","pretty sore from wednesday’s session but still moving very well, all at prescribed rpe"
196,4/10/20,comp bench,[245.0],[4],[2],[None],"foam rolling, mobility, warmup","last set best set, sore and feeling sick symptoms"
197,4/10/20,lat pulldown,[130.0],[4],[8],[None],"foam rolling, mobility, warmup","combined last 2 sets, up it by 10lb next week"
198,04/14/20,high bar pause squat,[375.0],[1],[1],[None],"foam rolling, mobility, warmup","depth was great in flats, just need to pause for .3 longer"
199,04/14/20,low bar pause squat,[340.0],[3],[3],[None],"foam rolling, mobility, warmup",all easy and flats were the best decision
200,04/14/20,comp bench,"[295.0, 245.0]","[1, 1]","[1, 6]","[None, None]","foam rolling, mobility, warmup","single was great considering 5lb bw loss and sickness, combined monday and tuesday to some degree"
201,04/14/20,larsen spoto press,[225.0],[1],[5],[None],"foam rolling, mobility, warmup",pretty easy and doable free
202,4/15/20,comp deadlift,"[440.0, 465.0, 480.0]","[1, 1, 1]","[4, 4, 4]","[None, None, None]","foam rolling, mobility, warmup",last set hard as fuck
203,4/15/20,comp deadlift,[435.0],[3],[2],[None],"foam rolling, mobility, warmup",easy and in position
204,4/16/20,high bar,"[325.0, 325.0, 345.0]","[1, 1, 1]","[6, 6, 6]","[None, None, None]",no mobility,felt hard but no caffeine before workout
205,4/16/20,comp squat,"[400.0, 415.0, 435.0]","[1, 1, 1]","[1, 4, 3]","[None, None, None]",no mobility,"form was getting risky, need to adjust to flats before going for prs again, lower back pump somehow, forgot to warmup t spine which is why i assume the back pump happened"
206,4/16/20,high bar,[360.0],[4],[4],[None],no mobility,"took 17% off because of failed top set, felt easier than last week with an extra 2% off but still 10lb more"
207,4/16/20,comp bench,[300.0],[1],[1],[None],no mobility,decent single with new shoulder position
208,4/16/20,larsen spoto press,"[215.0, 225.0]","[1, 2]","[5, 5]","[None, None]",no mobility,helping with adjustment in technique forsure
209,4/16/20,lat pulldown,[160.0],[5],[10],[None],no mobility,"decent but difficult, a lot less rest than last week"
210,4/21/20,comp bench,"[240.0, 240.0, 250.0]","[1, 1, 1]","[6, 6, 6]","[None, None, None]","foam rolling, stretching, warmup",new technique feels solid just elbow gives closer to failure
211,4/21/20,2” close grip board press,[230.0],[2],[6],[None],"foam rolling, stretching, warmup",rpe 7 not bad
212,4/22/20,comp deadlift,"[465.0, 480.0, 495.0]","[1, 1, 1]","[4, 4, 4]","[None, None, None]","foam rolling, mobility, warmup","sets feel very technically sound, solid resets"
213,4/22/20,comp deadlift,[445.0],[3],[2],[None],"foam rolling, mobility, warmup",easy with over under grip
214,4/22/20,comp squat,"[360.0, 380.0]","[1, 2]","[6, 6]","[None, None]","foam rolling, mobility, warmup","very hard, reduce increases if using low bar next block"
215,4/24/20,comp bench,"[245.0, 255.0, 265.0]","[1, 1, 1]","[4, 4, 4]","[None, None, None]","foam rolling, mobility, warmup","build up sets feel fantastic, top set was @8, slow down decent next week"
216,4/24/20,comp bench,[250.0],[4],[2],[None],"foam rolling, mobility, warmup",easy money
217,4/26/20,comp squat,[415.0],[1],[4],[9.0],"foam rolling, mobility, warmup","just felt really bad with 7am workout, was a true 9 so no offbeat rpe today"
218,4/26/20,high bar,[355.0],[4],[4],[None],"foam rolling, mobility, warmup",felt good @ 7/8
219,4/26/20,comp bench,[305.0],[1],[1],[10.0],"foam rolling, mobility, warmup","overshot but it still moved, old technique doesn’t feel better"
220,4/26/20,larsen spoto press,[225.0],[3],[5],[7.0],"foam rolling, mobility, warmup",right on target rpe of 7
221,4/27/20,comp bench,"[250.0, 240.0]","[1, 3]","[6, 5]","[8.0, None]","foam rolling, mobility, warmup","right on target with rpe, need to focus on evening out hips, all  were rpe 7/7.5"
222,4/27/20,larsen press,"[215.0, 205.0]","[1, 2]","[1, 10]","[None, None]","foam rolling, mobility, warmup","had to decrease weight after the first set because the initial  were heavier than originally written, failed last rep of last set, just reduce 2% more in future ￼"
223,4/27/20,skull crushers,[75.0],[3],[8],[None],"foam rolling, mobility, warmup","10 / reps were: 10,10,10"
224,4/27/20,rope bicep curls,[57.5],[3],[12],[None],"foam rolling, mobility, warmup","15 / reps were: 15,15,15"
225,4/28/20,comp deadlift,"[505.0, 545.0, 455.0]","[1, 1, 3]","[4, 1, 3]","[8.5, 9.5, None]","foam rolling, mobility, warmup","top set shouldve been amrapd, single was fastest it’s ever been on a stiff bar,  were over under and felt decent"
226,4/28/20,comp squat,"[365.0, 315.0]","[2, 1]","[6, 6]","[None, 6.0]","foam rolling, mobility, warmup","first two sets were @10, need to not let ego skew weights on this day moving forward"
227,4/30/20,comp bench,"[280.0, 265.0, 235.0]","[1, 3, 2]","[4, 3, 8]","[None, None, None]","foam rolling, mobility, warmup","top set went for 5 but it wasn’t there, still a very solid set, backoff triples were rpe 7/8, backoff 8s were rpe 8 because i smacked the rack half the time"
228,4/30/20,rope tricep extension,[47.5],[3],[12],[None],"foam rolling, mobility, warmup",upper back is retracted and down focusing on the long head
229,4/30/20,seated dumbbell overhead press,[35.0],[3],[10],[None],"foam rolling, mobility, warmup",fixes shoulder pain completely with complete rom
230,4/30/20,lat pulldown,[65.0],[4],[8],[None],"foam rolling, mobility, warmup",focus on protraction as much as retraction
231,4/30/20,comp bench,[320.0],[0],[0],[None],"foam rolling, mobility, warmup",if i try without previous workout fatigue it definitely would fly
